Categoria,Marca,Modelo,Versão,Motor,Propulsão,Transmissão e Velocidades,"Ar
Condicionado","Direção
Assistida",Combustível,"NMOG+NOx
(mg/km)","CO
(mg/km)","CHO
(mg/km)",Emissões Etanol (CO2 g/km),Emissões Gasolina/Diesel (CO2 g/km),Emissões PHEV (CO2 g/km),Consumo Etanol - Cidade (km/l),Consumo Etanol - Estrada (km/l),Consumo Gas. ou Di. - Cidade (km/l),Consumo Gas. ou Di. - Estrada (km/l),Consumo EV ou PHEV - Cidade (km/l e),Consumo EV ou PHEV - Estrada (km/l e),Consumo Energético (MJ/km),Autonomia Elétrico (km),Consumo_Cidade_L_Km,Consumo_Estrada_L_Km
Médio,CHEVROLET,ONIX PLUS,PREMIER,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,0,99.0,,"8,5",11,12.0,15.6,\,\,1.59,\,1.0,1.0
Médio,CHEVROLET,ONIX PLUS,LT,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,0,99.0,,"8,5",11,12.0,15.6,\,\,1.59,\,1.0,1.0
Médio,CHEVROLET,ONIX PLUS,LTZ,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,0,99.0,,"8,5",11,12.0,15.6,\,\,1.59,\,1.0,1.0
Médio,CHEVROLET,ONIX PLUS,AT,1.0T - 12V,Combustão,A-6,S,E,F,42,147,6,0,99.0,,"8,5",11,12.0,15.6,\,\,1.59,\,1.0,1.0
Médio,CHEVROLET,SPIN,LS E,1.8L-8V,Combustão,M-6,S,E,F,44,656,4,0,115.0,,"7,7","8,6",11.0,12.5,\,\,1.87,\,-1.0,-1.0
Médio,CHEVROLET,SPIN,LS2,1.8L-8V,Combustão,M-6,S,E,F,44,656,4,0,115.0,,"7,7","8,6",11.0,12.5,\,\,1.87,\,-1.0,-1.0
Médio,CHEVROLET,SPIN,LT,1.8L-8V,Combustão,M-6,S,E,F,44,656,4,0,115.0,,"7,7","8,6",11.0,12.5,\,\,1.87,\,-1.0,-1.0
Médio,Hyundai,HB20S,Comfort,1.0-12V T,Combustão,A-6,S,E,F,27,83,2,0,95.0,,"9,2","10,7",13.0,15.2,\,\,1.53,\,-1.0,-1.0
Médio,Hyundai,HB20S,Platinum Safety,1.0-12V T,Combustão,A-6,S,E,F,27,83,2,0,95.0,,"9,2","10,7",13.0,15.2,\,\,1.53,\,-1.0,-1.0
Médio,Hyundai,HB20S,SE,1.0-12V T,Combustão,A-6,S,E,F,27,83,2,0,95.0,,"9,2","10,7",13.0,15.2,\,\,1.53,\,-1.0,-1.0
Sub Compacto,FIAT,MOBI,TREKKING,1.0-6V,Combustão,M-5,S,E,F,38,281,3,0,91.0,,"9,8","10,6",14.0,15.1,\,\,1.46,\,1.0,1.0
Sub Compacto,FIAT,MOBI,LIKE,1.0-6V,Combustão,M-5,S,E,F,38,281,3,0,91.0,,"9,8","10,6",14.0,15.1,\,\,1.46,\,1.0,1.0
Compacto,PEUGEOT,208,GT T200,1.0T-12V,Combustão,CVT-7,S,E,F,31,339,3,0,104.0,,"8,3","9,7",12.0,13.7,\,\,1.69,\,1.0,1.0
Médio,CHEVROLET,ONIX,AT,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,0,101.0,,"8,2","10,5",12.0,14.8,\,\,1.65,\,1.0,1.0
Médio,CHEVROLET,ONIX,LT,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,0,101.0,,"8,2","10,5",12.0,14.8,\,\,1.65,\,1.0,1.0
Médio,CHEVROLET,ONIX,LTZ,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,0,101.0,,"8,2","10,5",12.0,14.8,\,\,1.65,\,1.0,1.0
Médio,CHEVROLET,ONIX,PREMIER,1.0T - 12V,Combustão,A-6,S,E,F,43,174,6,0,101.0,,"8,2","10,5",12.0,14.8,\,\,1.65,\,1.0,1.0
Extra Grande,BMW,320i,Active Flex,2.0 - 16V,Combustão,A-8,S,E,F,28,194,4,0,123.0,,"7,1","8,6",10.0,12.3,\,\,1.98,\,1.0,1.0
Extra Grande,BYD,SONG PLUS,GS DM,1.5-16V,Plug-in,A-1,S,E,G,6,21,0,\,16.0,0.0,\,\,15.0,11.2,"39,5","30,2",0.58,63,-1.0,-1.0
Extra Grande,CHEVROLET,EQUINOX,ACTIV,1.5T -16V,Combustão,A-8,S,E,G,21,140,1,\,140.0,,\,\,9.0,10.7,\,\,2.28,\,-1.0,-1.0
Extra Grande,CHEVROLET,EQUINOX,RS,1.5T -16V,Combustão,A-8,S,E,G,21,140,1,\,140.0,,\,\,9.0,10.7,\,\,2.28,\,-1.0,-1.0
Extra Grande,LEAPMOTOR,C10,REEV,"1.5L - 16V
/ Eletrico",Plug-In,A-1,S,E,G,5,19,1,\,111.0,7.0,\,\,12.0,12.0,"33,5","29,1",0.65,111,1.0,1.0
Extra Grande,Mercedes-Benz,CLA 200,AMG LINE,1.3-16V,Híbrido,DCT-7,S,E,G,33,125,3,\,104.0,,\,\,12.0,14.0,\,\,1.68,\,1.0,1.0
