Categoria;Marca;Modelo;Versão;Motor;Propulsão;Transmissão e Velocidades;"Ar
Condicionado";"Direção
Assistida";Combustível;"NMOG+NOx
(mg/km)";"CO
(mg/km)";"CHO
(mg/km)";Emissões Etanol (CO2 g/km);Emissões Gasolina/Diesel (CO2 g/km);Emissões PHEV (CO2 g/km);Consumo Etanol - Cidade (km/l);Consumo Etanol - Estrada (km/l);Consumo Gas. ou Di. - Cidade (km/l);Consumo Gas. ou Di. - Estrada (km/l);Consumo EV ou PHEV - Cidade (km/l e);Consumo EV ou PHEV - Estrada (km/l e);Consumo Energético (MJ/km);Autonomia Elétrico (km)
;;;;;;;;;;;;;;;;;;;;;;;
Médio;CHEVROLET;ONIX PLUS;LT;1.0T - 12V;Combustão;M-6;S;E;F;43;218;5;0;87;\;9,2;12,4;13,5;17,4;\;\;1,43;\
Médio;CHEVROLET;ONIX PLUS;LT2;1.0 - 12 V;Combustão;M-6;S;E;F;32;123;6;0;85;\;9,7;12,2;13,9;17,4;\;\;1,39;\
Médio;CHEVROLET;ONIX PLUS;PREMIER;1.0T - 12V;Combustão;A-6;S;E;F;42;147;6;0;99;\;8,5;11;12;15,6;\;\;1,59;\
Médio;CHEVROLET;ONIX PLUS;LT;1.0T - 12V;Combustão;A-6;S;E;F;42;147;6;0;99;\;8,5;11;12;15,6;\;\;1,59;\
Médio;CHEVROLET;ONIX PLUS;LTZ;1.0T - 12V;Combustão;A-6;S;E;F;42;147;6;0;99;\;8,5;11;12;15,6;\;\;1,59;\
Médio;CHEVROLET;ONIX PLUS;AT;1.0T - 12V;Combustão;A-6;S;E;F;42;147;6;0;99;\;8,5;11;12;15,6;\;\;1,59;\
Médio;CHEVROLET;ONIX PLUS (MY26);LTZ;1.0T - 12V;Combustão;A-6;S;E;F;46;203;6;0;97;\;8,5;11,2;12,2;16;\;\;1,57;\
Médio;CHEVROLET;ONIX PLUS (MY26);PREMIER;1.0T - 12V;Combustão;A-6;S;E;F;46;203;6;0;97;\;8,5;11,2;12,2;16;\;\;1,57;\
Médio;CHEVROLET;ONIX PLUS (MY26);MT;1.0T - 12V;Combustão;M-6;S;E;F;38;189;5;0;90;\;9,2;12,3;13,3;16,8;\;\;1,44;\
